"YEAR" "RCONG" "DCONG" "RPRES" "DPRES" "G" "PRCONT" "PDCONT" "TOTPRES" "TOTCONG" "RREP" "DREP" "TR" "INFLAT" "PREVINFL" "PREVGNP" "GNP" "TOTPOP18" "ELIGIBLE" "MRCONG" "MDCONG" "MRPRES" "MDPRES" "MTOTCONG" "MTOTPRES" "MTR" "VRCONG" "VDCONG" "VRPRES" "VDPRES" "VTOTCONG" "VTOTPRES" "VTR" "LMRCONG" "LMDCONG" "LRREP" "LDREP" "REPRATIO" "DRATIO" "RRATIO" "REPSHIFT" "MRATIO1" "MRATIO2" "ON" "ONR1" "ONR2" "OND1" "OND2" "ON1" "ON2" "OFF" "OFF1" "OFF2" "PRESDIF" "RPRESDIF" "LRPDIF" "LPRESDIF" "LMTCONG" "DIFOYTC" "SHIFT" "FDR" "CPOINT" "CPCGNP" "CGNP" "LGNP" "LINFLAT"
"23" 1940 21393000 24092000 22321018 27307819 1 0 1 49891000 46951000 164 261 0 42 41.6 209.4 227.2 91763000 84429000 0.253384500586291 0.28535218941359 0.264376197751957 0.323441222802592 0.556100392045387 0.590922550308543 0 0.455645247172584 0.513130710740985 0.47541091776533 0.581623799280101 1 1.06261847457988 0 0.207946034301886 0.214838127302447 89 331 -0.228235294117647 0.614117647058824 0.385882352941176 0.341176470588235 0 0.556100392045387 1 0 1 0 1 0 1 0 0 0 -6.99582193921926e-10 -6.99582193921926e-10 0 0 0.442021030032448 0 0 1 1 0.210828033021829 17.8 192.9 42.2
"24" 1942 14203000 12934000 0 0 0 0 1 0 28074000 162 268 0 48.8 44.1 263.7 297.8 94489000 87151000 0.162970017555737 0.148409083085679 0 0 0.322130555013712 0 0 0.505912944361331 0.46071097812923 0 0 1 0 0 0.253384500586291 0.28535218941359 164 261 -0.246511627906977 0.623255813953488 0.376744186046512 -0.0209302325581395 0 0.322130555013712 0 0 0 0 0 0 0 1 0 1 0 0 -6.99582193921926e-10 -6.99582193921926e-10 0.556100392045387 -0.726319914053842 0 1 1 0.39127491365561 34.1 227.2 42
"25" 1944 21303000 22808000 22014745 25606585 1 0 1 47969000 45103000 208 218 0 52.7 51.8 337.1 361.3 97153000 89976000 0.23676313683649 0.253489819507424 0.244673524050858 0.284593502711834 0.501278118609407 0.533131057170801 0 0.472318914484624 0.505686983127508 0.488099350375806 0.567735738199233 1 1.06354344500366 0 0.162970017555737 0.148409083085679 162 268 -0.0234741784037559 0.511737089201878 0.488262910798122 0.225352112676056 0 0.501278118609407 1 0 1 0 1 0 1 0 0 0 -4.43673631423671e-10 -4.43673631423671e-10 0 0 0.322130555013712 0 0 1 1 0.26896061171868 24.2 297.8 48.8
"26" 1946 18400000 15221000 0 0 0 0 1 0 34398000 190 242 0 58.5 53.9 355.2 312.6 99501000 92595000 0.198714833414331 0.164382526054323 0 0 0.371488741292726 0 0 0.534914820629106 0.442496656782371 0 0 1 0 0 0.23676313683649 0.253489819507424 208 218 -0.12037037037037 0.560185185185185 0.439814814814815 -0.0972222222222222 0 0.371488741292726 0 0 0 0 0 0 0 1 0 1 0 0 -4.43673631423671e-10 -4.43673631423671e-10 0.501278118609407 -0.349376341433747 0 1 1 -0.460068038231005 -42.6 361.3 52.7
"27" 1948 20920000 23820000 21991291 24179345 1 0 1 48794000 45933000 245 188 0 72.1 66.9 309.9 323.7 102066000 95265000 0.21959796357529 0.250039363879704 0.230843342255813 0.253811420773631 0.482160289718155 0.512192305673647 0 0.455445975660201 0.518581412056691 0.478768880761109 0.526404654605621 1 1.06228637363116 0 0.198714833414331 0.164382526054323 190 242 0.131639722863741 0.434180138568129 0.565819861431871 0.251732101616628 0 0.482160289718155 1 0 1 0 1 0 1 0 0 0 -2.41096714615218e-10 -2.41096714615218e-10 0 0 0.371488741292726 0 0 1 1 0.14485907731066 13.8 312.6 58.5
"28" 1950 19750000 19785000 0 0 0 0 1 0 40342000 171 263 0 72.1 71.4 324.1 355.3 104624000 97998000 0.201534725198473 0.201891875344395 0 0 0.411661462478826 0 0 0.489564225868822 0.490431808041247 0 0 1 0 0 0.21959796357529 0.250039363879704 245 188 -0.211981566820276 0.605990783410138 0.394009216589862 -0.34331797235023 0 0.411661462478826 0 0 0 0 0 0 0 1 0 1 0 0 -2.41096714615218e-10 -2.41096714615218e-10 0.482160289718155 -0.171254376872731 0 1 1 0.318373844364171 31.2 323.7 72.1
"29" 1952 28470000 28715000 33936234 27314992 1 1 0 61551000 57723000 199 234 0 79.5 77.8 383.4 395.1 106683000 100446000 0.283435875993071 0.285874997511101 0.337855504450152 0.271937080620433 0.574666985245804 0.612777014515262 0 0.49321760823242 0.49746201687369 0.587915285068344 0.473208114616357 1 1.06631671950522 0 0.201534725198473 0.201891875344395 171 263 -0.0808314087759815 0.540415704387991 0.459584295612009 0.131639722863741 0 0.574666985245804 1 0 1 0 1 0 1 0 0 0 6.56257330602707e-10 6.56257330602707e-10 0 0 0.411661462478826 0 0 1 1 0.116480496983454 11.7 355.3 72.1
"30" 1954 20095000 22453000 0 0 0 1 0 0 42749000 221 211 0 80.5 80.1 412.8 407 108739000 102459000 0.196127231380357 0.21914131506261 0 0 0.417230306756849 0 0 0.470069475309364 0.52522866031954 0 0 1 0 0 0.283435875993071 0.285874997511101 199 234 0.0231481481481481 0.488425925925926 0.511574074074074 0.104166666666667 0 0.417230306756849 0 0 0 0 0 0 0 1 0 1 0 0 6.56257330602707e-10 6.56257330602707e-10 0.574666985245804 -0.377337590149473 0 1 1 -0.0566080090572816 -5.80000000000001 395.1 79.5
"31" 1956 28533000 29951000 35590472 26022752 1 1 0 62034000 58610000 203 232 0 81.4 80.2 438 446.1 110956000 104500000 0.273043062200957 0.286612440191388 0.340578679425837 0.249021550239234 0.560861244019139 0.593626794258373 0 0.486828186316328 0.511022009895922 0.607242313598362 0.443998498549736 1 1.05842006483535 0 0.196127231380357 0.21914131506261 221 211 -0.0666666666666667 0.533333333333333 0.466666666666667 -0.0896551724137931 0 0.560861244019139 1 0 1 0 1 0 1 0 0 0 8.7614477690529e-10 8.7614477690529e-10 0 0 0.417230306756849 0 0 1 1 0.0775119617224879 8.10000000000002 407 80.5
"32" 1958 19565000 25306000 0 0 0 1 0 0 44984000 200 233 0 86.6 84.3 452.5 447.3 113139000 106394000 0.183891948794105 0.237851758557813 0 0 0.422805797319398 0 0 0.434932420416148 0.562555575315668 0 0 1 0 0 0.273043062200957 0.286612440191388 203 232 -0.0762124711316397 0.53810623556582 0.46189376443418 -0.0092378752886836 0 0.422805797319398 0 0 0 0 0 0 0 1 0 1 0 0 8.7614477690529e-10 8.7614477690529e-10 0.560861244019139 -0.32652212333657 0 1 1 -0.0488749365565722 -5.19999999999999 446.1 81.4
