"CCODE" "COUNTRY" "YEAR" "RENT" "NETOIL" "INCOME" "INCOMENO" "REGIONPO" "REGIONFH" "MUSLIM" "DEMSCORE" "POLITY" "POPULATI" "ELF85D" "ELF85G" "CATHOLIC" "PROTESTA" "ECONFREE" "GDPPC" "GDPPP" "TRADE" "GEO"
"48" 692 "Bahrain" 1997 0.656 NA 9.186458 9764 2.752941 2.166667 0.837 1 0.6 13.33747 0.501 0.23 0.037 0.008 1.85 11137.64 15098.58 148.5821 "Asia"
"49" 692 "Bahrain" 1998 0.502 NA 9.17108 9615 3.035294 2.222222 0.837 1 0.6 13.3739 0.501 0.23 0.037 0.008 1.95 11338.54 15196.56 128.4891 "Asia"
"50" 692 "Bahrain" 1999 0.596 NA NA NA 3 2.277778 0.837 1 1.2 13.40971 0.501 0.23 0.037 0.008 1.86 11522 15679.81 141.8317 "Asia"
"51" 771 "Bangladesh" 1995 0 0 7.406104 1646 NA NA 0.825 7 9.6 18.60107 0.043 0.043 0.002 0.001 3.79 303.2632 1324.428 28.20949 "Asia"
"52" 771 "Bangladesh" 1996 0 0 7.435438 1695 8.28 3.714286 0.825 8 9.6 18.6169 0.043 0.043 0.002 0.001 3.79 310.6339 1357.557 29.77754 "Asia"
"53" 771 "Bangladesh" 1997 0 0 7.471932 1758 7.2 4 0.825 8 9.6 18.63282 0.043 0.043 0.002 0.001 3.76 320.683 1397.988 30.01163 "Asia"
"54" 771 "Bangladesh" 1998 0 0 7.507141 1821 7.099998 4.142857 0.825 8 9.6 18.64884 0.043 0.043 0.002 0.001 3.8 330.6967 1441.493 31.6062 "Asia"
"55" 771 "Bangladesh" 1999 0 NA 7.538495 1879 7.099998 4.571429 0.825 7 9.6 18.66495 0.043 0.043 0.002 0.001 3.98 339.9597 1426.766 33.02117 "Asia"
"56" 370 "Belarus" 1995 NA NA NA NA NA NA 0.002 4 6 16.14581 0.374 0.374 0.117 0.009 3.7 920.0339 3476.234 103.7189 "Europe"
"57" 370 "Belarus" 1996 NA NA NA NA 10.87692 10.2 0.002 2 1.8 16.14279 0.374 0.374 0.117 0.009 3.45 948.96 3580.135 96.77485 "Europe"
"58" 370 "Belarus" 1997 NA NA NA NA 10.86154 10.24444 0.002 2 1.8 16.13986 0.374 0.374 0.117 0.009 3.95 1061.634 4015.335 125.5162 "Europe"
"59" 370 "Belarus" 1998 NA 0 NA NA 10.96923 10.28889 0.002 2 1.8 16.13052 0.374 0.374 0.117 0.009 4.2 1156.298 4369.241 122.9577 "Europe"
"60" 370 "Belarus" 1999 NA 0 NA NA 10.98461 10.33333 0.002 2 1.8 16.12129 0.374 0.374 0.117 0.009 4.19 1199.663 4526.58 120.8351 "Europe"
"61" 211 "Belgium" 1995 0 0 9.529593 13761 NA NA 0.034 12 12 16.13168 0.589 0.589 0.824 0.012 NA 19682.29 24076.86 133.8576 "Europe"
"62" 211 "Belgium" 1996 0 0 9.537339 13868 10.72308 10.02222 0.034 11 12 16.13367 0.589 0.589 0.824 0.012 2.11 19874.08 24328.09 137.1841 "Europe"
"63" 211 "Belgium" 1997 0 0 9.569692 14324 10.6 10.04444 0.034 11 12 16.13603 0.589 0.589 0.824 0.012 2.08 20513.72 25114.76 145.0273 "Europe"
