"V3543" "V3547" "V3551" "INTER1" "INTER2" "INTER3" "INTER4" "INFO1" "INFO2" "DEMCAND1" "DEMCAND2" "DEMCAND3" "REPCAND1" "REPCAND2" "REPCAND3" "DEMPART1" "DEMPART2" "DEMPART3" "REPPART1" "REPPART2" "REPPART3" "PARTIES1" "PARTIES2" "PARTIES3" "INDFEEL1" "INDFEEL2" "INDFEEL3" "CARFEEL1" "CARFEEL2" "CARFEEL3" "REAFEEL1" "REAFEEL2" "REAFEEL3" "KENFEEL1" "KENFEEL2" "KENFEEL3" "NEWV121" "NEWV2125" "NEWV3213" "NEWV122" "NEWV2126" "NEWV3214" "NEWV123" "NEWV2127" "NEWV3215" "NEWV130" "NEWV2134" "NEWV3224" "NEWV131" "NEWV2135" "NEWV3225" "PARTYID1" "PARTYID2" "PARTYID3" "PARTYID4" "PARTYID" "NEWV251" "NEWV2272" "NEWV3081" "COMMUN1" "COMMUN2" "COMMUN4" "COMMALL" "EDUC" "INC" "REL" "RELFREQ" "STATUS" "STATE" "PRESTOCO" "PRESTOST" "CONGTOCO" "PDEMCONT" "PREPCONT" "PDEMSTAT" "PREPSTAT" "CDEMCONT" "CREPCONT" "RFRIENDS" "DFRIENDS" "MFRIENDS" "AGE" "SEX" "RACE" "REGION" "DIDVOTE" "VOTE" "PARTREG" "VOTEVALI"
"32" 1 1 1 11 7 5 3 22 19 47 NA NA NA NA NA 85 60 40 40 70 60 NA 50 60 30 40 40 85 60 60 60 70 85 40 50 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4 5 6 5 4 3 2 1 2 2 2 7 12 14 140 2 26 42 47372 2256437 NA 0.480114835767964 0.508950434856033 0.485959501639089 0.496184028182484 NA NA 1 0 0 19 1 1 4 2 NA NA NA
"33" NA NA NA 3 7 3 1 16 19 NA 61 33 NA NA 41 100 85 70 50 30 85 100 50 60 50 15 70 75 50 15 50 60 30 100 100 30 NA 7 NA NA 3 NA NA 2 NA NA 7 NA NA 1 NA 1 1 2 2 1 4 5 5 2 2 2 7 12 7 123 4 19 42 47372 2256437 NA 0.480114835767964 0.508950434856033 0.485959501639089 0.496184028182484 NA NA 0 0 1 25 2 2 4 1 2 1 1
"34" NA NA NA 7 9 9 5 20 20 19 28 45 NA NA 84.6 30 30 53 100 100 85 50 60 75 50 30 75 40 40 55 60 100 98 15 15 30 4 5 6 2 2 3 5 5 6 5 5 6 2 3 3 6 6 7 7 6 5 5 5 2 2 2 7 13 NA 116 5 NA 61 1258675 2270169 1812727 0.285617812382068 0.650797068345681 0.326400809807552 0.595172429893986 0.340761184668182 0.467430561799984 0 0 1 73 1 1 6 1 1 3 1
"35" NA NA NA 13 13 11 1 28 32 69 48 NA NA NA NA 100 100 100 50 60 60 85 60 60 0 40 60 100 85 85 0 0 0 85 85 85 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2 2 2 2 2 5 5 5 3 2 2 8 9 3 200 2 12 61 1258675 2270169 1812727 0.285617812382068 0.650797068345681 0.326400809807552 0.595172429893986 0.340761184668182 0.467430561799984 0 0 1 72 2 1 6 1 2 1 1
"36" NA 1 NA 15 15 15 5 28 23 18 15 18 NA NA 67 30 30 30 85 85 70 70 70 60 70 60 60 60 30 30 85 85 85 0 0 0 6 6 6 4 4 3 7 6 6 6 6 6 2 2 2 7 7 7 7 7 5 5 5 4 4 3 13 12 21 111 4 33 61 1258675 2270169 1812727 0.285617812382068 0.650797068345681 0.326400809807552 0.595172429893986 0.340761184668182 0.467430561799984 0 0 1 55 1 1 6 1 1 3 1
"37" NA 5 NA 9 3 9 3 14 8 52 NA NA NA NA NA 60 NA 50 60 NA 50 40 NA 40 60 NA 60 60 NA 40 50 NA 40 40 NA 40 3 NA 3 6 NA 6 7 NA 7 6 NA 6 5 NA 5 4 NA 4 4 4 2 NA 1 3 2 3 9 17 3 NA NA 20 71 21084 24820799 30054 0.445693416808955 0.475147030923923 0.415046751718186 0.524124868018955 0.716210820523058 0.436813735276502 0 0 1 22 2 1 7 1 4 3 1
"38" NA NA NA 7 7 7 5 22 16 34 NA 29 NA NA 58 85 70 70 85 70 70 85 0 100 50 30 0 70 40 15 60 40 30 0 15 0 NA NA 3 NA NA 3 NA NA 6 NA NA 6 NA NA 2 2 2 2 6 2 5 5 5 2 2 2 7 12 1 140 5 13 71 21084 24820799 30054 0.445693416808955 0.475147030923923 0.415046751718186 0.524124868018955 0.716210820523058 0.436813735276502 0 0 1 54 2 1 7 1 1 1 1
"39" NA NA NA 9 9 7 1 18 18 46 50 48 NA NA NA 50 50 50 50 50 50 50 60 40 100 100 100 60 60 60 15 30 30 40 40 30 4 4 NA 4 4 NA 7 6 NA 6 6 NA 2 2 NA 4 4 4 4 4 5 5 5 2 2 3 8 16 16 116 5 32 71 21084 24820799 30054 0.445693416808955 0.475147030923923 0.415046751718186 0.524124868018955 0.716210820523058 0.436813735276502 0 0 1 32 2 1 7 1 NA 2 0
"40" 5 NA NA 9 9 9 3 17 18 42 46 50 NA NA NA 60 60 60 60 60 60 50 50 40 50 50 50 40 40 60 40 40 40 30 40 60 5 5 5 4 5 4 3 6 5 3 5 3 5 3 5 2 2 2 3 2 5 5 5 2 4 2 9 17 13 120 3 30 71 21084 24820799 30054 0.445693416808955 0.475147030923923 0.415046751718186 0.524124868018955 0.716210820523058 0.436813735276502 0 0 1 35 1 1 7 1 1 1 1
"41" NA NA NA 3 3 3 1 9 8 NA NA NA NA NA NA 40 NA NA 40 NA NA 0 NA NA 15 NA NA 50 NA NA 50 NA NA 50 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4 NA NA NA 4 1 NA NA 2 2 2 7 12 4 200 5 16 71 21084 24820799 30054 0.445693416808955 0.475147030923923 0.415046751718186 0.524124868018955 0.716210820523058 0.436813735276502 0 0 1 21 1 1 7 NA NA NA NA
